GRTOTLT,GRBKAAT,GRHISPT
180,9,32
2935,225,1002
2935,225,1002
879,26,194
86,0,13
793,26,181
407,52,146
275,,
18,,
257,,
539,43,303
1110,104,359
1421,41,476
1421,41,476
482,8,137
63,1,32
419,7,105
131,9,30
166,,
62,,
104,,
356,12,139
452,12,170
251,11,21
218,11,20
252,11,21
1,0,0
251,11,21
218,11,20
218,11,20
201,10,18
16,1,2
1,0,0
33,0,1
33,0,1
1233,195,434
7,0,2
1226,195,432
790,87,288
773,83,286
17,4,2
642,,
627,,
15,,
1,0,1
435,108,143
1250,62,765
1250,62,765
315,15,168
36,1,21
279,14,147
90,16,32
94,,
29,,
65,,
214,3,151
631,28,414
8,0,0
3,0,0
5,0,0
7,0,0
7,0,0
3,0,0
3,0,0
1,0,0
2,0,0
4,0,0
1,0,0
1,0,0
1,0,0
800,14,137
800,14,137
155,2,21
20,0,2
135,2,19
119,1,22
62,,
21,,
41,,
121,1,21
405,10,73
1739,53,449
1739,53,449
520,7,137
7,0,3
513,7,134
220,13,53
146,,
9,,
137,,
318,4,91
681,29,168
28,0,12
28,0,12
1,0,0
1,0,0
1,,
1,,
10,0,8
17,0,4
164,7,15
86,2,10
164,7,15
164,7,15
86,2,10
86,2,10
67,1,4
16,1,5
3,0,1
3,0,0
75,5,5
3,0,0
75,5,5
233,28,30
233,28,30
65,4,10
18,0,1
47,4,9
61,13,9
43,,
20,,
23,,
107,11,11
708,151,117
708,151,117
686,148,112
506,116,74
180,32,38
7,2,1
684,,
11,0,3
4,1,1
475,17,117
475,17,117
77,2,18
22,0,6
55,2,12
55,6,9
32,,
19,,
13,,
143,4,34
200,5,56
781,124,507
781,124,507
162,14,112
11,2,6
151,12,106
97,29,49
36,,
9,,
27,,
181,20,138
341,61,208
665,43,156
459,23,103
631,40,146
3,0,1
628,40,145
437,22,95
22,1,8
415,21,87
349,18,73
56,3,12
10,0,2
37,3,11
37,3,11
22,1,8
22,1,8
3,0,1
5,0,1
201,20,52
5,0,1
186,18,49
15,2,3
752,83,204
752,83,204
207,6,59
15,1,8
192,5,51
97,17,21
62,,
9,,
53,,
126,19,33
322,41,91
1631,34,232
905,12,109
160,4,25
1631,34,232
1631,34,232
905,12,109
905,12,109
444,7,37
377,3,58
84,2,14
160,4,25
22,3,2
544,15,96
22,3,2
544,15,96
224,52,78
224,52,78
177,41,61
177,41,61
177,,
177,,
47,11,17
47,0,28
47,0,28
29,0,17
23,0,16
6,0,1
29,,
25,,
4,,
4,0,2
14,0,9
299,18,57
165,2,27
299,18,57
299,18,57
165,2,27
165,2,27
146,2,22
16,0,4
3,0,1
2,0,0
132,16,30
2,0,0
132,16,30
840,33,347
4,0,1
836,33,346
574,16,251
457,14,224
117,2,27
419,,
368,,
51,,
10,2,1
252,15,94
1550,83,898
1550,83,898
288,13,164
5,0,2
283,13,162
188,17,91
26,,
3,,
23,,
429,23,266
645,30,377
29,1,2
21,0,2
29,1,2
29,1,2
21,0,2
1,0,0
20,0,2
1,0,0
19,0,2
1,0,0
7,1,0
1,0,0
7,1,0
2761,189,281
2508,159,250
2766,189,282
5,0,1
2761,189,281
2508,159,250
2508,159,250
2090,129,203
368,23,43
50,7,4
5,0,1
21,2,2
232,28,29
21,2,2
232,28,29
327,11,181
327,11,181
88,3,48
1,0,1
87,3,47
29,2,13
50,,
50,,
37,1,23
173,5,97
89,0,8
64,0,5
89,0,8
89,0,8
64,0,5
64,0,5
56,0,4
7,0,1
1,0,0
25,0,3
25,0,3
8,4,1
4,2,1
8,4,1
8,4,1
4,2,1
2,1,0
2,1,1
1,0,1
1,1,0
4,2,0
4,2,0
5456,640,2576
5456,640,2576
3647,333,1819
3647,333,1819
1432,,
1432,,
1809,307,757
642,72,319
642,72,319
486,44,244
421,38,218
65,6,26
414,,
386,,
28,,
4,1,0
152,27,75
573,37,333
2,0,1
571,37,332
352,18,214
260,11,186
92,7,28
187,,
175,,
12,,
3,0,1
216,19,117
1134,29,700
1134,29,700
314,3,178
5,0,2
309,3,176
98,10,50
101,,
4,,
